"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7700","UI – login flow","","Sat Oct 25 16:33:55 IST 2025","passed","Sat Oct 25 16:34:03 IST 2025","","ui/tests/login.spec.ts","",""
"","708","API – create and verify user","","Sat Oct 25 16:33:55 IST 2025","passed","Sat Oct 25 16:33:56 IST 2025","","api/tests/userApi.spec.ts","",""
"","737","Sample Playwright smoke test","","Sat Oct 25 16:33:55 IST 2025","passed","Sat Oct 25 16:33:56 IST 2025","","ui/tests/smoke.spec.ts","",""
